product_id,product_name,category,total_sales,quantity_sold,order_count,customer_count
11,데일리 블루투스 스피커 그레이 P011,전자기기,8812300,75,50,49
283,클래식 후드 티셔츠 블루 P283,패션,8763000,67,53,53
110,에코 테이블 매트 화이트 P110,홈인테리어,8670000,69,42,41
242,컴팩트 공기청정기 그린 P242,생활가전,8665500,38,26,26
91,데일리 무선 마우스 그레이 P091,전자기기,8617000,134,79,76
127,프리미엄 덤벨 세트 블랙 P127,스포츠,8602800,70,40,39
2,스마트 미니 가습기 블랙 P002,생활가전,8492300,56,39,39
163,플러스 베이직 셔츠 블랙 P163,패션,8450800,63,41,41
71,에코 기계식 키보드 그레이 P071,전자기기,8349600,63,38,37
215,데일리 견과 세트 그레이 P215,식품,7849600,132,82,80
167,프리미엄 덤벨 세트 블랙 P167,스포츠,7846600,53,35,35
274,베이직 세럼 그레이 P274,뷰티,7786100,86,47,47
181,라이트 웹캠 베이지 P181,전자기기,7641600,145,83,79
157,스마트 스포츠 타월 그린 P157,스포츠,7560000,64,38,38
200,라이트 무드등 화이트 P200,홈인테리어,7244400,62,38,36
224,에코 선크림 그레이 P224,뷰티,7203600,83,39,37
130,에코 수납 바구니 블랙 P130,홈인테리어,7062300,51,28,27
123,클래식 베이직 셔츠 베이지 P123,패션,6903600,56,36,36
177,데일리 러닝 벨트 블루 P177,스포츠,6834000,60,33,31
222,플러스 토스터 블루 P222,생활가전,6745200,43,26,25
82,베이직 미니 가습기 화이트 P082,생활가전,6739200,35,24,24
232,프로 선풍기 베이지 P232,생활가전,6677200,43,27,27
217,플러스 운동 밴드 그레이 P217,스포츠,6648000,60,38,37
21,프로 무선 이어폰 블랙 P021,전자기기,6620000,89,63,62
280,프리미엄 벽시계 화이트 P280,홈인테리어,6600200,58,46,46
270,베이직 수납 바구니 그린 P270,홈인테리어,6596700,69,38,38
250,데일리 벽시계 블랙 P250,홈인테리어,6469800,51,29,29
141,베이직 무선 마우스 블랙 P141,전자기기,6403200,108,59,58
73,프리미엄 데님 팬츠 그레이 P073,패션,6316000,85,56,56
248,클래식 급수기 화이트 P248,반려동물,6241600,64,32,32
194,스마트 립틴트 그레이 P194,뷰티,6026300,78,45,45
210,컴팩트 수납 바구니 블루 P210,홈인테리어,6025000,63,31,31
95,라이트 프로틴바 베이지 P095,식품,5971800,86,48,46
75,데일리 허브티 블루 P075,식품,5922300,97,64,63
20,프로 디퓨저 블루 P020,홈인테리어,5904700,75,48,46
120,라이트 수납 바구니 블랙 P120,홈인테리어,5869200,47,29,28
34,클래식 클렌징 폼 화이트 P034,뷰티,5859400,72,48,47
162,클래식 전기포트 그린 P162,생활가전,5817100,40,24,23
17,플러스 요가 매트 그린 P017,스포츠,5804800,59,29,28
275,클래식 견과 세트 화이트 P275,식품,5727300,89,55,53
262,클래식 전기포트 그레이 P262,생활가전,5718700,58,31,30
174,클래식 립틴트 베이지 P174,뷰티,5716900,110,59,58
13,베이직 데님 팬츠 블루 P013,패션,5662800,68,38,37
227,플러스 운동 밴드 그레이 P227,스포츠,5602000,77,48,46
264,라이트 선크림 블루 P264,뷰티,5558400,82,57,55
80,베이직 테이블 매트 그린 P080,홈인테리어,5480200,55,36,35
170,에코 무드등 화이트 P170,홈인테리어,5456200,53,33,32
115,베이직 견과 세트 블루 P115,식품,5388800,90,50,49
7,에코 스포츠 타월 베이지 P007,스포츠,5361400,56,34,33
70,데일리 벽시계 화이트 P070,홈인테리어,5315700,40,27,27
263,베이직 데님 팬츠 베이지 P263,패션,5300600,91,55,53
268,플러스 펫 방석 블랙 P268,반려동물,5275600,66,42,40
38,에코 고양이 모래 블랙 P038,반려동물,5261100,48,33,31
284,플러스 선크림 베이지 P284,뷰티,5184500,92,56,55
147,컴팩트 덤벨 세트 베이지 P147,스포츠,5083000,55,37,36
214,스마트 클렌징 폼 화이트 P214,뷰티,5062400,86,48,47
201,컴팩트 블루투스 스피커 그레이 P201,전자기기,5039800,70,49,47
187,데일리 러닝 벨트 그레이 P187,스포츠,5016900,59,39,39
300,라이트 수납 바구니 블랙 P300,홈인테리어,5009100,46,31,30
88,플러스 반려견 간식 베이지 P088,반려동물,4981600,42,29,29
113,클래식 베이직 셔츠 그레이 P113,패션,4966200,82,46,45
230,에코 벽시계 블루 P230,홈인테리어,4949100,56,27,27
258,컴팩트 반려견 간식 블랙 P258,반려동물,4944900,51,27,27
131,플러스 무선 마우스 그린 P131,전자기기,4944600,64,43,43
28,스마트 리드줄 그레이 P028,반려동물,4924800,49,30,30
84,에코 립틴트 그레이 P084,뷰티,4855100,55,32,32
277,베이직 스포츠 타월 블랙 P277,스포츠,4830000,61,41,39
191,프리미엄 무선 마우스 블랙 P191,전자기기,4785100,55,38,38
94,컴팩트 세럼 그레이 P094,뷰티,4771200,75,47,46
23,프리미엄 바람막이 그레이 P023,패션,4763600,56,34,32
240,플러스 테이블 매트 그레이 P240,홈인테리어,4713500,41,29,28
18,데일리 급수기 그레이 P018,반려동물,4697600,51,30,30
287,베이직 덤벨 세트 그레이 P287,스포츠,4581800,71,42,41
10,프리미엄 벽시계 블랙 P010,홈인테리어,4472200,42,28,27
295,클래식 드립백 커피 베이지 P295,식품,4456900,92,55,54
65,라이트 과일칩 블랙 P065,식품,4393100,92,59,57
60,컴팩트 수납 바구니 블루 P060,홈인테리어,4373600,54,33,33
1,프리미엄 웹캠 그레이 P001,전자기기,4358800,68,40,40
98,플러스 장난감 그린 P098,반려동물,4263900,43,27,27
107,클래식 운동 밴드 블루 P107,스포츠,4217400,42,26,26
184,데일리 마스크팩 그린 P184,뷰티,4110000,111,64,60
15,플러스 허브티 그레이 P015,식품,4103000,60,40,40
5,스마트 드립백 커피 화이트 P005,식품,4022300,74,43,42
135,베이직 견과 세트 화이트 P135,식품,3987900,80,51,49
64,컴팩트 세럼 블루 P064,뷰티,3974400,79,51,49
138,베이직 고양이 모래 베이지 P138,반려동물,3910100,37,26,26
74,라이트 수분 크림 블루 P074,뷰티,3892200,53,39,38
90,프로 테이블 매트 화이트 P090,홈인테리어,3845400,35,23,23
137,스마트 폼롤러 그레이 P137,스포츠,3832400,48,30,30
267,에코 운동 밴드 화이트 P267,스포츠,3813900,55,30,30
190,플러스 벽시계 그레이 P190,홈인테리어,3742200,60,36,35
144,프로 립틴트 블루 P144,뷰티,3661800,101,57,57
211,데일리 블루투스 스피커 베이지 P211,전자기기,3647800,58,44,43
261,베이직 기계식 키보드 블랙 P261,전자기기,3607200,80,53,52
8,스마트 급수기 화이트 P008,반려동물,3563500,31,18,18
108,프리미엄 장난감 블랙 P108,반려동물,3556000,48,33,33
97,라이트 덤벨 세트 베이지 P097,스포츠,3529500,40,22,22
45,플러스 드립백 커피 블루 P045,식품,3518100,69,36,36
40,프로 테이블 매트 블루 P040,홈인테리어,3475000,37,24,24
103,프리미엄 후드 티셔츠 블루 P103,패션,3472700,101,69,68
14,스마트 선크림 블루 P014,뷰티,3424800,75,42,41
122,라이트 선풍기 베이지 P122,생활가전,3422900,64,45,42
117,프로 러닝 벨트 베이지 P117,스포츠,3421600,39,20,20
67,라이트 폼롤러 베이지 P067,스포츠,3412000,46,24,24
257,라이트 스포츠 타월 그린 P257,스포츠,3370100,27,23,22
228,프리미엄 리드줄 그린 P228,반려동물,3354000,27,19,19
254,프리미엄 세럼 그레이 P254,뷰티,3347500,67,37,36
19,라이트 데스크 매트 블루 P019,문구,3268200,68,40,39
154,클래식 클렌징 폼 베이지 P154,뷰티,3262700,53,33,32
33,라이트 슬랙스 블루 P033,패션,3206500,106,73,69
35,프로 프로틴바 블랙 P035,식품,3206400,54,38,38
245,라이트 과일칩 베이지 P245,식품,3182400,50,35,35
31,플러스 웹캠 그레이 P031,전자기기,3160200,72,47,46
208,클래식 펫 방석 그레이 P208,반려동물,3131200,43,30,29
87,컴팩트 운동 밴드 베이지 P087,스포츠,3129300,49,29,28
207,데일리 요가 매트 베이지 P207,스포츠,3120000,65,41,38
77,컴팩트 덤벨 세트 베이지 P077,스포츠,3117100,23,15,15
128,데일리 급수기 그린 P128,반려동물,3026600,44,34,34
195,클래식 프로틴바 그레이 P195,식품,2896400,68,43,43
247,프로 덤벨 세트 블루 P247,스포츠,2845900,55,33,33
61,플러스 무선 이어폰 그레이 P061,전자기기,2828800,90,66,64
41,데일리 기계식 키보드 화이트 P041,전자기기,2823400,82,48,45
175,프리미엄 프로틴바 그레이 P175,식품,2822600,68,41,41
124,클래식 립틴트 베이지 P124,뷰티,2735600,106,63,62
68,라이트 장난감 그린 P068,반려동물,2709200,28,16,16
105,베이직 그래놀라 그레이 P105,식품,2702900,69,44,43
24,클래식 선크림 블루 P024,뷰티,2702500,58,32,32
186,클래식 파이썬 입문서 베이지 P186,도서,2698500,70,41,41
288,스마트 펫 방석 블랙 P288,반려동물,2656200,38,26,26
4,프로 세럼 화이트 P004,뷰티,2627200,65,48,48
54,클래식 립틴트 그레이 P054,뷰티,2614600,81,58,57
25,플러스 드립백 커피 그린 P025,식품,2605500,112,72,69
180,컴팩트 테이블 매트 베이지 P180,홈인테리어,2554200,52,33,32
78,플러스 펫 방석 베이지 P078,반려동물,2542000,44,26,26
155,프로 허브티 블랙 P155,식품,2510000,66,42,42
9,프로 젤펜 세트 화이트 P009,문구,2485900,50,29,29
253,라이트 슬랙스 블루 P253,패션,2441300,115,66,64
297,스마트 요가 매트 그린 P297,스포츠,2380400,68,40,40
278,베이직 리드줄 베이지 P278,반려동물,2377100,48,33,33
114,프리미엄 클렌징 폼 베이지 P114,뷰티,2359800,55,36,34
140,스마트 테이블 매트 블루 P140,홈인테리어,2353700,65,37,36
244,라이트 마스크팩 그린 P244,뷰티,2352000,52,32,32
169,컴팩트 젤펜 세트 블루 P169,문구,2307800,56,33,32
265,프로 허브티 블랙 P265,식품,2284300,85,55,52
205,프리미엄 프로틴바 블랙 P205,식품,2240000,85,56,56
220,스마트 수납 바구니 블랙 P220,홈인테리어,2190200,33,22,22
125,프리미엄 견과 세트 그린 P125,식품,2189700,52,28,28
193,데일리 데님 팬츠 그린 P193,패션,2189600,84,49,49
104,베이직 선크림 화이트 P104,뷰티,2180100,93,59,58
48,클래식 고양이 모래 블루 P048,반려동물,2135300,37,23,23
89,에코 파일 홀더 화이트 P089,문구,2127500,49,28,27
260,컴팩트 쿠션 커버 베이지 P260,홈인테리어,2048900,51,32,32
145,스마트 프로틴바 그린 P145,식품,2032000,68,42,42
158,스마트 펫 방석 화이트 P158,반려동물,2019700,59,31,29
239,플러스 플래너 블루 P239,문구,2001000,47,27,27
166,라이트 데이터 분석 가이드 그레이 P166,도서,1956000,69,45,45
50,클래식 수납 바구니 베이지 P050,홈인테리어,1943600,35,24,24
55,컴팩트 과일칩 그린 P055,식품,1927000,90,58,55
221,에코 무선 이어폰 그레이 P221,전자기기,1899000,68,41,39
39,에코 메모지 블루 P039,문구,1848200,36,23,23
53,에코 후드 티셔츠 그레이 P053,패션,1843200,63,42,41
294,데일리 클렌징 폼 그레이 P294,뷰티,1834300,103,61,59
27,베이직 운동 밴드 그린 P027,스포츠,1824000,52,28,28
132,컴팩트 토스터 블랙 P132,생활가전,1798100,76,49,49
96,프로 에세이 블루 P096,도서,1797000,65,43,43
100,베이직 무드등 베이지 P100,홈인테리어,1732300,41,22,22
188,라이트 고양이 모래 블루 P188,반려동물,1728100,56,33,33
146,플러스 에세이 그레이 P146,도서,1724900,60,42,42
148,베이직 고양이 모래 그린 P148,반려동물,1704200,52,31,31
290,데일리 쿠션 커버 블랙 P290,홈인테리어,1695700,73,45,45
156,플러스 파이썬 입문서 그린 P156,도서,1694400,46,29,29
151,스마트 기계식 키보드 그레이 P151,전자기기,1671800,55,41,39
164,클래식 세럼 그레이 P164,뷰티,1666000,88,51,51
289,데일리 젤펜 세트 화이트 P289,문구,1651300,45,29,28
6,컴팩트 에세이 베이지 P006,도서,1636000,43,27,27
236,베이직 AI 활용서 화이트 P236,도서,1594900,56,33,33
299,에코 데스크 매트 블루 P299,문구,1585300,35,19,19
206,베이직 파이썬 입문서 그레이 P206,도서,1516500,53,28,28
139,베이직 젤펜 세트 블랙 P139,문구,1513600,37,27,27
237,에코 운동 밴드 화이트 P237,스포츠,1496800,60,35,35
121,라이트 무선 이어폰 블루 P121,전자기기,1480500,88,58,56
3,컴팩트 후드 티셔츠 그레이 P003,패션,1463000,70,44,42
238,베이직 반려견 간식 블루 P238,반려동물,1452800,42,27,27
36,라이트 에세이 베이지 P036,도서,1441600,46,32,31
81,컴팩트 기계식 키보드 베이지 P081,전자기기,1436900,61,42,41
136,프로 데이터 분석 가이드 그린 P136,도서,1377000,41,31,31
106,에코 AI 활용서 그린 P106,도서,1358100,42,24,23
30,프리미엄 벽시계 그레이 P030,홈인테리어,1356600,40,24,23
66,컴팩트 데이터 분석 가이드 베이지 P066,도서,1321500,47,25,25
233,에코 데님 팬츠 블루 P233,패션,1321100,76,51,50
168,베이직 펫 방석 블루 P168,반려동물,1307200,66,37,37
118,프리미엄 리드줄 베이지 P118,반려동물,1295400,42,28,28
249,베이직 메모지 블랙 P249,문구,1289400,34,20,20
255,프로 그래놀라 베이지 P255,식품,1271700,91,48,47
196,컴팩트 AI 활용서 그레이 P196,도서,1268400,56,34,34
59,데일리 메모지 그린 P059,문구,1240700,34,28,27
134,프로 클렌징 폼 화이트 P134,뷰티,1225200,55,33,33
129,컴팩트 데스크 매트 블랙 P129,문구,1209600,48,26,26
235,라이트 드립백 커피 그레이 P235,식품,1204700,61,40,40
46,클래식 데이터 분석 가이드 베이지 P046,도서,1179900,71,40,40
229,베이직 노트 세트 베이지 P229,문구,1179300,28,19,19
218,클래식 장난감 그린 P218,반려동물,1176000,39,24,24
269,라이트 플래너 화이트 P269,문구,1168700,43,31,30
256,데일리 에세이 그린 P256,도서,1137000,63,42,39
47,플러스 러닝 벨트 그레이 P047,스포츠,1080000,73,42,41
296,플러스 에세이 블랙 P296,도서,1076900,52,36,36
189,프리미엄 파일 홀더 블랙 P189,문구,1073800,37,21,21
219,에코 노트 세트 그레이 P219,문구,1034400,31,23,23
79,프리미엄 메모지 그린 P079,문구,1013700,37,29,29
279,스마트 젤펜 세트 그린 P279,문구,1009800,44,28,27
56,플러스 AI 활용서 그린 P056,도서,1009000,54,30,30
266,데일리 파이썬 입문서 블루 P266,도서,994500,35,22,22
176,프리미엄 자기계발서 블랙 P176,도서,989800,38,24,24
16,데일리 경제 교양서 그레이 P016,도서,982800,60,37,37
298,라이트 급수기 화이트 P298,반려동물,961800,37,20,20
198,클래식 장난감 베이지 P198,반려동물,953200,44,27,27
226,클래식 데이터 분석 가이드 베이지 P226,도서,942200,36,26,26
149,플러스 파일 홀더 베이지 P149,문구,941000,38,25,24
44,스마트 세럼 그레이 P044,뷰티,882300,72,47,42
179,스마트 메모지 그린 P179,문구,835500,54,35,34
29,베이직 파일 홀더 베이지 P029,문구,831100,52,40,40
85,베이직 프로틴바 블랙 P085,식품,824000,89,54,52
57,클래식 요가 매트 그레이 P057,스포츠,819500,41,28,28
150,프로 수납 바구니 그레이 P150,홈인테리어,813600,25,16,16
37,클래식 요가 매트 그린 P037,스포츠,807700,35,26,26
234,플러스 마스크팩 베이지 P234,뷰티,792600,72,41,40
285,프로 과일칩 화이트 P285,식품,764600,43,32,32
246,프로 경제 교양서 베이지 P246,도서,711200,48,25,25
216,컴팩트 에세이 그린 P216,도서,689600,46,28,27
76,스마트 에세이 블랙 P076,도서,653400,55,35,34
116,프로 자기계발서 화이트 P116,도서,652800,44,31,30
204,클래식 클렌징 폼 블랙 P204,뷰티,651500,99,58,56
86,프로 경제 교양서 블랙 P086,도서,627000,30,23,23
119,플러스 데스크 매트 화이트 P119,문구,624400,48,30,30
99,컴팩트 플래너 그레이 P099,문구,616300,27,17,17
49,프리미엄 파일 홀더 그린 P049,문구,585300,37,23,22
109,데일리 젤펜 세트 블루 P109,문구,571500,63,35,35
286,베이직 데이터 분석 가이드 베이지 P286,도서,570600,55,31,29
26,플러스 파이썬 입문서 화이트 P026,도서,525000,47,32,31
159,프리미엄 젤펜 세트 베이지 P159,문구,502200,26,19,19
165,스마트 견과 세트 그린 P165,식품,496500,106,62,61
276,컴팩트 에세이 베이지 P276,도서,487900,37,25,25
126,클래식 파이썬 입문서 블루 P126,도서,486800,39,26,26
225,프로 그래놀라 블루 P225,식품,371900,79,49,48
185,플러스 프로틴바 베이지 P185,식품,335100,60,39,39
178,데일리 고양이 모래 그레이 P178,반려동물,330400,43,29,29
58,프로 펫 방석 화이트 P058,반려동물,326500,40,27,27
259,라이트 노트 세트 그레이 P259,문구,313200,43,31,31
199,데일리 젤펜 세트 베이지 P199,문구,269500,27,14,14
69,클래식 젤펜 세트 그레이 P069,문구,228000,41,28,28
209,프로 메모지 화이트 P209,문구,222000,59,29,28
